ensembl_gene_id,logFC,logCPM,F,PValue,FDR,gene_symbol,cellranger_version,pseudobulk
ENSG00000129757,0.788086475,8.656378319,1206.37369,1.84E-183,8.60E-182,CDKN1C,v3,FALSE
ENSG00000204103,0.787469071,8.805171722,1022.662096,9.71E-220,5.61E-218,MAFB,v3,FALSE
ENSG00000064886,0.786201577,9.458806256,1479.207125,5.410846667e-314,4.898452070994e-312,CHI3L2,v3,FALSE
ENSG00000198763,0.785833426,11.57657324,1819.690583,0,0,ND2,v3,FALSE
ENSG00000125741,0.785489662,8.847822953,1062.040238,6.14E-228,3.74E-226,OPA3,v3,FALSE
ENSG00000196262,0.784975955,10.51369982,4237.188299,0,0,PPIA,v3,FALSE
ENSG00000105699,0.783700967,8.901499367,1242.674399,2.22E-265,1.68E-263,LSR,v3,FALSE
ENSG00000184254,0.776560317,8.609806177,1886.535958,4.71E-198,2.42E-196,ALDH1A3,v3,FALSE
ENSG00000197329,0.774338176,8.699403383,1069.952972,9.47E-180,4.31E-178,PELI1,v3,FALSE
ENSG00000256690,0.774314483,8.567044324,3395.133098,1.89E-212,1.04E-210,LOC105369332,v3,FALSE
ENSG00000141543,0.772512518,8.914225401,1063.658606,2.83E-228,1.73E-226,EIF4A3,v3,FALSE
ENSG00000177600,0.768137877,11.69486324,5268.019169,0,0,RPLP2,v3,FALSE
ENSG00000089280,0.768047348,9.659538001,1542.557276,0,0,FUS,v3,FALSE
ENSG00000105855,0.768007648,8.682794716,1070.728438,3.35E-185,1.58E-183,ITGB8,v3,FALSE
ENSG00000117595,0.767894392,8.887521901,1007.813574,1.21E-216,6.80E-215,IRF6,v3,FALSE
ENSG00000091527,0.767343496,8.777566806,1088.277707,2.15E-233,1.36E-231,CDV3,v3,FALSE
ENSG00000204386,0.765922489,8.665514868,1153.701683,1.33E-172,5.79E-171,NEU1,v3,FALSE
ENSG00000154553,0.762642189,8.667087334,1182.632744,1.21E-184,5.67E-183,PDLIM3,v3,FALSE
ENSG00000255112,0.76094204,8.761499219,1037.73825,4.10E-202,2.15E-200,CHMP1B,v3,FALSE
ENSG00000124107,0.759279317,10.3754967,1120.614677,4.14E-240,2.70E-238,SLPI,v3,FALSE
ENSG00000175866,0.759187927,8.617454252,1413.553312,1.10E-164,4.51E-163,BAIAP2,v3,FALSE
ENSG00000152518,0.758242192,9.464412982,1319.268667,3.58E-281,2.88E-279,ZFP36L2,v3,FALSE
ENSG00000157557,0.756171883,8.684160846,1026.745758,1.23E-169,5.26E-168,ETS2,v3,FALSE
ENSG00000054598,0.755962356,8.688254268,1069.856605,1.11E-176,4.92E-175,FOXC1,v3,FALSE
ENSG00000165732,0.752613219,8.873068597,1034.079211,4.06E-222,2.38E-220,DDX21,v3,FALSE
ENSG00000116285,0.750813177,8.850269383,932.1189868,7.77E-201,4.05E-199,ERRFI1,v3,FALSE
ENSG00000130396,0.750618139,8.812698452,1018.071581,8.79E-219,5.03E-217,AFDN,v3,FALSE
ENSG00000189058,0.750552367,8.80468532,1227.997306,1.63E-261,1.19E-259,APOD,v3,FALSE
ENSG00000094755,0.749036563,8.82549088,1081.546296,5.43E-232,3.39E-230,GABRP,v3,FALSE
ENSG00000100219,0.746773459,8.890964794,924.5064799,3.04E-199,1.57E-197,XBP1,v3,FALSE
ENSG00000186847,0.746501518,11.67442388,998.005412,1.34E-214,7.47E-213,KRT14,v3,FALSE
ENSG00000111859,0.745274564,8.621231537,1300.847101,1.53E-149,5.48E-148,NEDD9,v3,FALSE
ENSG00000169718,0.743471983,8.720295894,1080.766939,9.73E-223,5.77E-221,DUS1L,v3,FALSE
ENSG00000173801,0.743124707,8.685676154,1012.744742,2.81E-179,1.27E-177,JUP,v3,FALSE
ENSG00000156804,0.741683454,9.047383161,838.6428729,3.03E-181,1.39E-179,FBXO32,v3,FALSE
ENSG00000006210,0.741077085,8.616723553,1266.594789,4.12E-168,1.75E-166,CX3CL1,v3,FALSE
ENSG00000025708,0.741023683,8.774706729,898.6903499,7.72E-194,3.87E-192,TYMP,v3,FALSE
ENSG00000197063,0.740316613,8.662363751,1071.183545,9.81E-157,3.79E-155,MAFG,v3,FALSE
ENSG00000117525,0.738221847,8.550332029,3998.557705,8.44E-211,4.64E-209,F3,v3,FALSE
ENSG00000171612,0.734224226,8.649786377,1201.76499,2.98E-165,1.23E-163,SLC25A33,v3,FALSE
